date,CAD,BRL
2003-02-11,1.5303000211715698,3.5810000896453857
2003-02-12,1.5290000438690186,3.5950000286102295
2003-02-13,1.5198999643325806,3.640000104904175
2003-02-14,1.5190999507904053,3.6640000343322754
2003-02-18,1.5149999856948853,3.5975000858306885
2003-02-19,1.5140000581741333,3.609999895095825
2003-02-20,1.504699945449829,3.625999927520752
2003-02-21,1.5052000284194946,3.61299991607666
2003-02-24,1.4944000244140625,3.5969998836517334
2003-02-25,1.492799997329712,3.6080000400543213
2003-02-26,1.493899941444397,3.5885000228881836
2003-02-27,1.4953999519348145,3.565999984741211
2003-02-28,1.4880000352859497,3.565000057220459
2003-03-03,1.4852999448776245,3.569999933242798
2003-03-04,1.4774999618530273,3.569999933242798
2003-03-05,1.4726999998092651,3.569999933242798
2003-03-06,1.4714000225067139,3.5299999713897705
2003-03-07,1.4665000438690186,3.509999990463257
2003-03-10,1.46589994430542,3.5250000953674316
2003-03-11,1.472499966621399,3.489000082015991
2003-03-12,1.4728000164031982,3.4800000190734863
2003-03-13,1.4854999780654907,3.422499895095825
2003-03-14,1.482200026512146,3.388000011444092
2003-03-17,1.4835000038146973,3.4049999713897705
2003-03-18,1.4788000583648682,3.444999933242798
2003-03-19,1.4803999662399292,3.4760000705718994
2003-03-20,1.4788000583648682,3.4860000610351562
2003-03-21,1.4904999732971191,3.424999952316284
2003-03-24,1.4804999828338623,3.4070000648498535
2003-03-25,1.4769999980926514,3.3949999809265137
2003-03-26,1.4710999727249146,3.3929998874664307
2003-03-27,1.4673000574111938,3.4019999504089355
2003-03-28,1.468000054359436,3.371000051498413
2003-03-31,1.469499945640564,3.3320000171661377
2003-04-01,1.4729000329971313,3.3289999961853027
2003-04-02,1.476199984550476,3.2850000858306885
2003-04-03,1.4759999513626099,3.240000009536743
2003-04-04,1.472000002861023,3.2330000400543213
2003-04-07,1.4843000173568726,3.174999952316284
2003-04-08,1.4677000045776367,3.174999952316284
2003-04-09,1.4678000211715698,3.174999952316284
2003-04-10,1.4570000171661377,3.2200000286102295
2003-04-11,1.4519000053405762,3.2230000495910645
2003-04-14,1.4532999992370605,3.182499885559082
2003-04-15,1.4515000581741333,3.115000009536743
2003-04-16,1.4563000202178955,3.063999891281128
2003-04-17,1.4490000009536743,3.0350000858306885
2003-04-18,1.4500000476837158,3.0390000343322754
2003-04-21,1.454699993133545,3.0399999618530273
2003-04-22,1.4472999572753906,3.056999921798706
2003-04-23,1.451200008392334,3.006999969482422
2003-04-24,1.457900047302246,3.003000020980835
